bind.address OtherComponent 4c3bbaa15b57
dfs.namenode.maintenance.replication.min OtherComponent 1
dfs.namenode.max-corrupt-file-blocks-returned NameNode 100
dfs.namenode.max-corrupt-file-blocks-returned OtherComponent 100
dfs.namenode.max-lock-hold-to-release-lease-ms NameNode 25
dfs.namenode.max-lock-hold-to-release-lease-ms OtherComponent 25
dfs.namenode.max-num-blocks-to-log DataNode 1000
dfs.namenode.max-num-blocks-to-log NameNode 1000
dfs.namenode.max-num-blocks-to-log OtherComponent 1000
dfs.namenode.max.extra.edits.segments.retained NameNode 10000
dfs.namenode.max.extra.edits.segments.retained OtherComponent 10000
dfs.namenode.max.full.block.report.leases NameNode 6
dfs.namenode.max.full.block.report.leases OtherComponent 6
dfs.namenode.max.objects NameNode 0
dfs.namenode.max.objects OtherComponent 0
dfs.namenode.max.op.size NameNode 52428800
dfs.namenode.metrics.logger.period.seconds NameNode 600
dfs.namenode.min.supported.datanode.version NameNode 2.1.0-beta
dfs.namenode.name.cache.threshold NameNode 10
dfs.namenode.name.cache.threshold OtherComponent 10
dfs.namenode.name.dir NameNode file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-dir/dfs/name-0-1,file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-dir/dfs/name-0-2
dfs.namenode.name.dir OtherComponent file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-dir/dfs/name-0-1,file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-dir/dfs/name-0-2
dfs.namenode.name.dir.restore NameNode false
dfs.namenode.name.dir.restore OtherComponent false
dfs.namenode.num.checkpoints.retained NameNode 2
dfs.namenode.num.checkpoints.retained OtherComponent 2
dfs.namenode.num.extra.edits.retained NameNode 1000000
dfs.namenode.num.extra.edits.retained OtherComponent 1000000
dfs.namenode.path.based.cache.block.map.allocation.percent NameNode 0.25
dfs.namenode.path.based.cache.block.map.allocation.percent OtherComponent 0.25
dfs.namenode.path.based.cache.refresh.interval.ms NameNode 30000
dfs.namenode.path.based.cache.refresh.interval.ms OtherComponent 30000
dfs.namenode.path.based.cache.retry.interval.ms NameNode 30000
dfs.namenode.path.based.cache.retry.interval.ms OtherComponent 30000
dfs.namenode.plugins NameNode [Ljava.lang.Class;@88d6f9b
dfs.namenode.plugins NameNode []
dfs.namenode.posix.acl.inheritance.enabled NameNode true
dfs.namenode.posix.acl.inheritance.enabled OtherComponent true
dfs.namenode.provided.enabled NameNode false
dfs.namenode.provided.enabled OtherComponent false
dfs.namenode.quota.init-threads NameNode 4
dfs.namenode.quota.init-threads OtherComponent 4
dfs.namenode.read-lock-reporting-threshold-ms NameNode 5000
dfs.namenode.read-lock-reporting-threshold-ms OtherComponent 5000
dfs.namenode.reconstruction.pending.timeout-sec NameNode 300
dfs.namenode.reconstruction.pending.timeout-sec OtherComponent 300
dfs.namenode.redundancy.considerLoad NameNode true
dfs.namenode.redundancy.considerLoad OtherComponent true
dfs.namenode.redundancy.considerLoad.factor NameNode 2.0
dfs.namenode.redundancy.considerLoad.factor OtherComponent 2.0
dfs.namenode.redundancy.interval.seconds NameNode 3000
dfs.namenode.redundancy.interval.seconds NameNode 3s
dfs.namenode.redundancy.interval.seconds OtherComponent 3000
dfs.namenode.redundancy.interval.seconds OtherComponent 3s
dfs.namenode.reject-unresolved-dn-topology-mapping NameNode false
dfs.namenode.reject-unresolved-dn-topology-mapping OtherComponent false
dfs.namenode.replication.max-streams NameNode 2
dfs.namenode.replication.max-streams OtherComponent 2
dfs.namenode.replication.max-streams-hard-limit NameNode 4
dfs.namenode.replication.max-streams-hard-limit OtherComponent 4
dfs.namenode.replication.min NameNode 1
dfs.namenode.replication.min OtherComponent 1
dfs.namenode.replication.work.multiplier.per.iteration NameNode 2
dfs.namenode.replication.work.multiplier.per.iteration OtherComponent 2
dfs.namenode.replqueue.threshold-pct NameNode 0.999
dfs.namenode.replqueue.threshold-pct OtherComponent 0.999
dfs.namenode.resource.check.interval NameNode 5000
dfs.namenode.resource.check.interval OtherComponent 5000
dfs.namenode.resource.checked.volumes NameNode []
dfs.namenode.resource.checked.volumes.minimum NameNode 1
dfs.namenode.resource.du.reserved NameNode 104857600
dfs.namenode.retrycache.expirytime.millis NameNode 600000
dfs.namenode.retrycache.expirytime.millis OtherComponent 600000
dfs.namenode.retrycache.heap.percent NameNode 0.03
dfs.namenode.retrycache.heap.percent NameNode 0.03f
dfs.namenode.retrycache.heap.percent OtherComponent 0.03
dfs.namenode.retrycache.heap.percent OtherComponent 0.03f
dfs.namenode.rpc-address DataNode localhost:42529
dfs.namenode.rpc-address NameNode 127.0.0.1:0
dfs.namenode.rpc-address NameNode localhost:42529
dfs.namenode.rpc-address OtherComponent 127.0.0.1:0
dfs.namenode.rpc-address.auxiliary-ports DataNode [I@1eea9d2d
dfs.namenode.rpc-address.auxiliary-ports DataNode [I@a10c1b5
dfs.namenode.rpc-address.auxiliary-ports DataNode [Ljava.lang.String;@3b2da18f
dfs.namenode.rpc-address.auxiliary-ports NameNode [I@1ecee32c
dfs.namenode.rpc-address.auxiliary-ports NameNode [I@6a57ae10
dfs.namenode.rpc-address.auxiliary-ports NameNode [I@77b7ffa4
dfs.namenode.rpc-address.auxiliary-ports NameNode [I@c4ed84
dfs.namenode.rpc-address.auxiliary-ports NameNode [Ljava.lang.String;@3b2da18f
dfs.namenode.rpc-address.auxiliary-ports OtherComponent [I@1f97cf0d
dfs.namenode.rpc-address.auxiliary-ports OtherComponent [Ljava.lang.String;@3b2da18f
dfs.namenode.safemode.extension NameNode 0
dfs.namenode.safemode.extension OtherComponent 0
dfs.namenode.safemode.extension.testing OtherComponent 0
dfs.namenode.safemode.min.datanodes NameNode 0
dfs.namenode.safemode.min.datanodes OtherComponent 0
dfs.namenode.safemode.replication.min NameNode 1
dfs.namenode.safemode.replication.min OtherComponent 1
dfs.namenode.safemode.threshold-pct NameNode 0.999
dfs.namenode.safemode.threshold-pct NameNode 0.999f
dfs.namenode.safemode.threshold-pct OtherComponent 0.999
dfs.namenode.safemode.threshold-pct OtherComponent 0.999f
dfs.namenode.shared.edits.dir NameNode []
dfs.namenode.shared.edits.dir OtherComponent []
dfs.namenode.snapshot.capture.openfiles NameNode false
dfs.namenode.snapshot.capture.openfiles OtherComponent false
dfs.namenode.snapshot.max.limit NameNode 65536
dfs.namenode.snapshot.max.limit OtherComponent 65536
dfs.namenode.snapshot.skip.capture.accesstime-only-change NameNode false
dfs.namenode.snapshot.skip.capture.accesstime-only-change OtherComponent false
dfs.namenode.snapshot.skiplist.interval NameNode 10
dfs.namenode.snapshot.skiplist.interval OtherComponent 10
dfs.namenode.snapshot.skiplist.max.levels NameNode 0
dfs.namenode.snapshot.skiplist.max.levels OtherComponent 0
dfs.namenode.snapshotdiff.allow.snap-root-descendant NameNode true
dfs.namenode.snapshotdiff.allow.snap-root-descendant OtherComponent true
dfs.namenode.snapshotdiff.listing.limit NameNode 1000
dfs.namenode.snapshotdiff.listing.limit OtherComponent 1000
dfs.namenode.stale.datanode.interval NameNode 30000
dfs.namenode.stale.datanode.interval OtherComponent 30000
dfs.namenode.stale.datanode.minimum.interval NameNode 3
dfs.namenode.stale.datanode.minimum.interval OtherComponent 3
dfs.namenode.startup NameNode REGULAR
dfs.namenode.startup OtherComponent REGULAR
dfs.namenode.startup.delay.block.deletion.sec NameNode 0
dfs.namenode.startup.delay.block.deletion.sec OtherComponent 0
dfs.namenode.storage.dir.perm NameNode 700
dfs.namenode.storage.dir.perm OtherComponent 700
dfs.namenode.storageinfo.defragment.interval.ms NameNode 600000
dfs.namenode.storageinfo.defragment.interval.ms OtherComponent 600000
dfs.namenode.storageinfo.defragment.ratio NameNode 0.75
dfs.namenode.storageinfo.defragment.ratio OtherComponent 0.75
dfs.namenode.storageinfo.defragment.timeout.ms NameNode 4
dfs.namenode.storageinfo.defragment.timeout.ms OtherComponent 4
dfs.namenode.support.allow.format OtherComponent true
dfs.namenode.tolerate.heartbeat.multiplier NameNode 4
dfs.namenode.tolerate.heartbeat.multiplier OtherComponent 4
dfs.namenode.top.enabled NameNode true
dfs.namenode.top.enabled OtherComponent true
dfs.namenode.top.num.users NameNode 10
dfs.namenode.top.num.users OtherComponent 10
dfs.namenode.top.window.num.buckets NameNode 10
dfs.namenode.top.window.num.buckets OtherComponent 10
dfs.namenode.top.windows.minutes NameNode 1,5,25
dfs.namenode.top.windows.minutes NameNode [Ljava.lang.String;@42721fe
dfs.namenode.top.windows.minutes OtherComponent 1,5,25
dfs.namenode.top.windows.minutes OtherComponent [Ljava.lang.String;@75d3a5e0
dfs.namenode.write-lock-reporting-threshold-ms NameNode 5000
dfs.namenode.write-lock-reporting-threshold-ms OtherComponent 5000
dfs.namenode.write.stale.datanode.ratio NameNode 0.5
dfs.namenode.write.stale.datanode.ratio NameNode 0.5f
dfs.namenode.write.stale.datanode.ratio OtherComponent 0.5
dfs.namenode.write.stale.datanode.ratio OtherComponent 0.5f
dfs.namenode.xattrs.enabled NameNode true
dfs.namenode.xattrs.enabled OtherComponent true
dfs.nameservices DataNode []
dfs.nameservices NameNode []
dfs.nameservices OtherComponent []
dfs.net.topology.impl NameNode org.apache.hadoop.hdfs.net.DFSNetworkTopology
dfs.net.topology.impl OtherComponent org.apache.hadoop.hdfs.net.DFSNetworkTopology
dfs.permissions.ContentSummary.subAccess NameNode false
dfs.permissions.ContentSummary.subAccess OtherComponent false
dfs.permissions.enabled DataNode true
dfs.permissions.enabled NameNode true
dfs.permissions.enabled OtherComponent true
dfs.permissions.superusergroup DataNode supergroup
dfs.permissions.superusergroup NameNode supergroup
dfs.permissions.superusergroup OtherComponent supergroup
dfs.pipeline.ecn DataNode false
dfs.provided.storage.id NameNode DS-PROVIDED
dfs.provided.storage.id OtherComponent DS-PROVIDED
dfs.quota.by.storage.type.enabled NameNode true
dfs.quota.by.storage.type.enabled OtherComponent true
dfs.reformat.disabled OtherComponent false
dfs.replication NameNode 2
dfs.replication OtherComponent 2
dfs.replication OtherComponent 3
dfs.replication ResourceManager 3
dfs.replication.max NameNode 512
dfs.replication.max OtherComponent 512
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms DataNode 60000
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms NameNode 60000
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms OtherComponent 60000
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms ResourceManager 60000
dfs.storage.policy.enabled NameNode true
dfs.storage.policy.enabled OtherComponent true
dfs.storage.policy.satisfier.mode NameNode none
dfs.storage.policy.satisfier.mode OtherComponent none
dfs.use.dfs.network.topology NameNode true
dfs.use.dfs.network.topology OtherComponent true
dfs.user.home.dir.prefix NameNode /user
dfs.user.home.dir.prefix OtherComponent /user
dfs.web.authentication.filter NameNode org.apache.hadoop.hdfs.web.AuthFilter
dfs.webhdfs.acl.provider.permission.pattern NameNode ^(default:)?(user|group|mask|other):[[A-Za-z_][A-Za-z0-9._-]]*:([rwx-]{3})?(,(default:)?(user|group|mask|other):[[A-Za-z_][A-Za-z0-9._-]]*:([rwx-]{3})?)*$
dfs.webhdfs.netty.high.watermark DataNode 65535
dfs.webhdfs.netty.low.watermark DataNode 32768
dfs.webhdfs.rest-csrf.enabled DataNode false
dfs.webhdfs.rest-csrf.enabled NameNode false
dfs.webhdfs.ugi.expire.after.access DataNode 600000
dfs.webhdfs.user.provider.user.pattern NameNode ^[A-Za-z_][A-Za-z0-9._-]*[$]?$
dfs.xframe.enabled DataNode true
dfs.xframe.enabled NameNode true
dfs.xframe.value DataNode SAMEORIGIN
dfs.xframe.value NameNode SAMEORIGIN
file.bytes-per-checksum OtherComponent 512
file.stream-buffer-size OtherComponent 4096
fs.AbstractFileSystem.file.impl NodeManager org.apache.hadoop.fs.local.LocalFs
fs.AbstractFileSystem.file.impl OtherComponent org.apache.hadoop.fs.local.LocalFs
fs.AbstractFileSystem.hdfs.impl OtherComponent org.apache.hadoop.fs.Hdfs
fs.AbstractFileSystem.hdfs.impl ResourceManager org.apache.hadoop.fs.Hdfs
fs.automatic.close NameNode true
fs.automatic.close OtherComponent true
fs.client.resolve.remote.symlinks NameNode true
fs.client.resolve.remote.symlinks NodeManager true
fs.client.resolve.remote.symlinks OtherComponent true
fs.client.resolve.remote.symlinks ResourceManager true
fs.client.resolve.topology.enabled OtherComponent false
fs.defaultFS DataNode hdfs://localhost:42529
fs.defaultFS NameNode hdfs://127.0.0.1:0
fs.defaultFS NameNode hdfs://localhost:42529
fs.defaultFS OtherComponent [Ljava.lang.String;@1cb37ee4
fs.defaultFS OtherComponent [Ljava.lang.String;@2f5b8250
fs.defaultFS OtherComponent [Ljava.lang.String;@5ea4300e
fs.defaultFS OtherComponent file:///
fs.defaultFS OtherComponent hdfs://localhost:42529
fs.defaultFS ResourceManager hdfs://localhost:42529
fs.df.interval DataNode 60000
fs.df.interval NameNode 60000
fs.du.interval DataNode 600000
fs.file.impl.disable.cache DataNode false
fs.file.impl.disable.cache NameNode false
fs.file.impl.disable.cache OtherComponent false
fs.getspaceused.jitterMillis DataNode 60000
fs.hdfs.impl.disable.cache NameNode false
fs.hdfs.impl.disable.cache OtherComponent false
fs.local.block.size NodeManager 33554432
fs.local.block.size OtherComponent 33554432
fs.permissions.umask-mode NameNode 022
fs.permissions.umask-mode NodeManager 000
fs.permissions.umask-mode OtherComponent 000
fs.permissions.umask-mode OtherComponent 022
fs.permissions.umask-mode ResourceManager 000
fs.protected.directories NameNode []
fs.protected.directories OtherComponent []
fs.trash.interval NameNode 0
fs.trash.interval OtherComponent 0
hadoop.caller.context.enabled NameNode false
hadoop.caller.context.enabled OtherComponent false
hadoop.caller.context.max.size NameNode 128
hadoop.caller.context.max.size OtherComponent 128
hadoop.caller.context.signature.max.size NameNode 40
hadoop.caller.context.signature.max.size OtherComponent 40
hadoop.common.configuration.version DataNode 3.0.0
hadoop.hdfs.configuration.version DataNode 1
hadoop.http.acceptor.count NameNode -1
hadoop.http.acceptor.count NodeManager -1
hadoop.http.acceptor.count OtherComponent -1
hadoop.http.acceptor.count OtherComponent 1
hadoop.http.acceptor.count ResourceManager -1
hadoop.http.authentication.kerberos.keytab NameNode /root/hadoop.keytab
hadoop.http.authentication.kerberos.keytab NodeManager /root/hadoop.keytab
hadoop.http.authentication.kerberos.keytab OtherComponent /root/hadoop.keytab
hadoop.http.authentication.kerberos.keytab ResourceManager /root/hadoop.keytab
hadoop.http.authentication.kerberos.principal NameNode HTTP/_HOST@LOCALHOST
hadoop.http.authentication.kerberos.principal NodeManager HTTP/_HOST@LOCALHOST
hadoop.http.authentication.kerberos.principal OtherComponent HTTP/_HOST@LOCALHOST
hadoop.http.authentication.kerberos.principal ResourceManager HTTP/_HOST@LOCALHOST
hadoop.http.authentication.signature.secret.file NameNode /root/hadoop-http-auth-signature-secret
hadoop.http.authentication.signature.secret.file NodeManager /root/hadoop-http-auth-signature-secret
hadoop.http.authentication.signature.secret.file OtherComponent /root/hadoop-http-auth-signature-secret
hadoop.http.authentication.signature.secret.file ResourceManager /root/hadoop-http-auth-signature-secret
hadoop.http.authentication.simple.anonymous.allowed NameNode true
hadoop.http.authentication.simple.anonymous.allowed NodeManager true
hadoop.http.authentication.simple.anonymous.allowed OtherComponent true
hadoop.http.authentication.simple.anonymous.allowed ResourceManager true
hadoop.http.authentication.token.validity NameNode 36000
hadoop.http.authentication.token.validity NodeManager 36000
hadoop.http.authentication.token.validity OtherComponent 36000
hadoop.http.authentication.token.validity ResourceManager 36000
hadoop.http.authentication.type NameNode simple
hadoop.http.authentication.type NodeManager simple
hadoop.http.authentication.type OtherComponent simple
hadoop.http.authentication.type ResourceManager simple
hadoop.http.filter.initializers NameNode [Ljava.lang.Class;@5460cf3a
hadoop.http.filter.initializers NameNode [Ljava.lang.String;@6dab9b6d
hadoop.http.filter.initializers NameNode org.apache.hadoop.http.lib.StaticUserWebFilter
hadoop.http.filter.initializers NodeManager [Ljava.lang.Class;@1c52552f
hadoop.http.filter.initializers NodeManager [Ljava.lang.Class;@32091c14
hadoop.http.filter.initializers NodeManager [Ljava.lang.Class;@385dfb63
hadoop.http.filter.initializers NodeManager [Ljava.lang.Class;@570ba13
hadoop.http.filter.initializers NodeManager [Ljava.lang.Class;@59fc6d05
hadoop.http.filter.initializers NodeManager [Ljava.lang.Class;@9c93d16
hadoop.http.filter.initializers NodeManager [Ljava.lang.String;@27dc627a
hadoop.http.filter.initializers NodeManager [Ljava.lang.String;@359066bc
hadoop.http.filter.initializers NodeManager [Ljava.lang.String;@3fcee3d9
hadoop.http.filter.initializers NodeManager [Ljava.lang.String;@671ea6ff
hadoop.http.filter.initializers NodeManager [Ljava.lang.String;@71e7adbb
hadoop.http.filter.initializers NodeManager [Ljava.lang.String;@7f13811b
hadoop.http.filter.initializers NodeManager org.apache.hadoop.http.lib.StaticUserWebFilter
hadoop.http.filter.initializers NodeManager org.apache.hadoop.http.lib.StaticUserWebFilter,org.apache.hadoop.security.AuthenticationFilterInitializer
hadoop.http.filter.initializers OtherComponent [Ljava.lang.Class;@349d0836
hadoop.http.filter.initializers OtherComponent [Ljava.lang.Class;@61019f59
hadoop.http.filter.initializers OtherComponent [Ljava.lang.Class;@79a6407d
hadoop.http.filter.initializers OtherComponent [Ljava.lang.String;@19bcb25
hadoop.http.filter.initializers OtherComponent [Ljava.lang.String;@62df0ff3
hadoop.http.filter.initializers OtherComponent [Ljava.lang.String;@6a74d228
hadoop.http.filter.initializers OtherComponent org.apache.hadoop.http.lib.StaticUserWebFilter
hadoop.http.filter.initializers ResourceManager [Ljava.lang.Class;@3b920bdc
hadoop.http.filter.initializers ResourceManager [Ljava.lang.Class;@8bd86c8
hadoop.http.filter.initializers ResourceManager [Ljava.lang.String;@67514bdd
hadoop.http.filter.initializers ResourceManager [Ljava.lang.String;@885e7ff
hadoop.http.filter.initializers ResourceManager org.apache.hadoop.http.lib.StaticUserWebFilter
hadoop.http.filter.initializers ResourceManager org.apache.hadoop.yarn.server.security.http.RMAuthenticationFilterInitializer,org.apache.hadoop.http.lib.StaticUserWebFilter
hadoop.http.idle_timeout.ms NameNode 10000
hadoop.http.idle_timeout.ms NodeManager 10000
hadoop.http.idle_timeout.ms OtherComponent 10000
hadoop.http.idle_timeout.ms ResourceManager 10000
hadoop.http.logs.enabled NameNode true
hadoop.http.logs.enabled NodeManager true
hadoop.http.logs.enabled OtherComponent true
hadoop.http.logs.enabled ResourceManager true
hadoop.http.max.request.header.size NameNode 65536
hadoop.http.max.request.header.size NodeManager 65536
hadoop.http.max.request.header.size OtherComponent 65536
hadoop.http.max.request.header.size ResourceManager 65536
hadoop.http.max.response.header.size NameNode 65536
hadoop.http.max.response.header.size NodeManager 65536
hadoop.http.max.response.header.size OtherComponent 65536
hadoop.http.max.response.header.size ResourceManager 65536
hadoop.http.max.threads NameNode -1
hadoop.http.max.threads NodeManager -1
hadoop.http.max.threads OtherComponent -1
hadoop.http.max.threads OtherComponent 3
hadoop.http.max.threads ResourceManager -1
hadoop.http.selector.count NameNode -1
hadoop.http.selector.count NodeManager -1
hadoop.http.selector.count OtherComponent -1
hadoop.http.selector.count OtherComponent 1
hadoop.http.selector.count ResourceManager -1
hadoop.http.socket.backlog.size NameNode 128
hadoop.http.socket.backlog.size NodeManager 128
hadoop.http.socket.backlog.size OtherComponent 128
hadoop.http.socket.backlog.size ResourceManager 128
hadoop.http.staticuser.user OtherComponent dr.who
hadoop.jetty.logs.serve.aliases NameNode true
hadoop.jetty.logs.serve.aliases NodeManager true
hadoop.jetty.logs.serve.aliases OtherComponent true
hadoop.jetty.logs.serve.aliases ResourceManager true
hadoop.kerberos.min.seconds.before.relogin DataNode 60
hadoop.kerberos.min.seconds.before.relogin NameNode 60
hadoop.kerberos.min.seconds.before.relogin NodeManager 60
hadoop.kerberos.min.seconds.before.relogin OtherComponent 60
hadoop.kerberos.min.seconds.before.relogin ResourceManager 60
hadoop.proxyservers OtherComponent [Ljava.lang.String;@3b2da18f
hadoop.proxyservers ResourceManager [Ljava.lang.String;@3b2da18f
hadoop.rpc.protection DataNode [Ljava.lang.String;@27068a50
hadoop.rpc.protection DataNode [Ljava.lang.String;@64e1dd11
hadoop.rpc.protection DataNode authentication
hadoop.rpc.protection NameNode [Ljava.lang.String;@70e659aa
hadoop.rpc.protection NameNode authentication
hadoop.rpc.protection OtherComponent [Ljava.lang.String;@1775c4e7
hadoop.rpc.protection OtherComponent [Ljava.lang.String;@4d464510
hadoop.rpc.protection OtherComponent [Ljava.lang.String;@5a65e882
hadoop.rpc.protection OtherComponent [Ljava.lang.String;@67536ae0
hadoop.rpc.protection OtherComponent [Ljava.lang.String;@72a2312e
hadoop.rpc.protection OtherComponent [Ljava.lang.String;@7cfbcae0
hadoop.rpc.protection OtherComponent [Ljava.lang.String;@93bf15c
hadoop.rpc.protection OtherComponent authentication
hadoop.rpc.protection ResourceManager [Ljava.lang.String;@640cc04b
hadoop.rpc.protection ResourceManager authentication
hadoop.rpc.socket.factory.class.default DataNode org.apache.hadoop.net.StandardSocketFactory
hadoop.rpc.socket.factory.class.default NameNode org.apache.hadoop.net.StandardSocketFactory
hadoop.rpc.socket.factory.class.default OtherComponent org.apache.hadoop.net.StandardSocketFactory
hadoop.rpc.socket.factory.class.default ResourceManager org.apache.hadoop.net.StandardSocketFactory
hadoop.security.auth_to_local.mechanism DataNode hadoop
hadoop.security.auth_to_local.mechanism NameNode hadoop
hadoop.security.auth_to_local.mechanism NodeManager hadoop
hadoop.security.auth_to_local.mechanism OtherComponent hadoop
hadoop.security.auth_to_local.mechanism ResourceManager hadoop
hadoop.security.authentication DataNode simple
hadoop.security.authentication NameNode simple
hadoop.security.authentication NodeManager simple
hadoop.security.authentication OtherComponent TOKEN
hadoop.security.authentication OtherComponent simple
hadoop.security.authentication ResourceManager simple
hadoop.security.authorization DataNode false
hadoop.security.authorization NameNode false
hadoop.security.authorization NodeManager false
hadoop.security.authorization OtherComponent false
hadoop.security.authorization ResourceManager false
hadoop.security.dns.log-slow-lookups.enabled OtherComponent false
hadoop.security.dns.log-slow-lookups.threshold.ms OtherComponent 1000
hadoop.security.group.mapping OtherComponent org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
hadoop.security.groups.cache.background.reload OtherComponent false
hadoop.security.groups.cache.background.reload.threads OtherComponent 3
hadoop.security.groups.cache.secs OtherComponent 300
hadoop.security.groups.cache.warn.after.ms OtherComponent 5000
hadoop.security.groups.negative-cache.secs OtherComponent 30
hadoop.security.token.service.use_ip OtherComponent true
hadoop.security.uid.cache.secs OtherComponent 14400
hadoop.service.shutdown.timeout OtherComponent 30
hadoop.service.shutdown.timeout OtherComponent 30s
hadoop.ssl.client.conf OtherComponent ssl-client.xml
hadoop.ssl.enabled.protocols OtherComponent TLSv1,SSLv2Hello,TLSv1.1,TLSv1.2
hadoop.ssl.enabled.protocols OtherComponent [Ljava.lang.String;@49e53c76
hadoop.ssl.hostname.verifier OtherComponent DEFAULT
hadoop.ssl.keystores.factory.class OtherComponent org.apache.hadoop.security.ssl.FileBasedKeyStoresFactory
hadoop.ssl.require.client.cert OtherComponent false
hadoop.user.group.metrics.percentiles.intervals DataNode [I@33d05366
hadoop.user.group.metrics.percentiles.intervals DataNode [I@6f6962ba
hadoop.user.group.metrics.percentiles.intervals DataNode [Ljava.lang.String;@3b2da18f
hadoop.user.group.metrics.percentiles.intervals NameNode [I@28b46423
hadoop.user.group.metrics.percentiles.intervals NameNode [Ljava.lang.String;@3b2da18f
hadoop.user.group.metrics.percentiles.intervals NodeManager [I@1a2bcd56
hadoop.user.group.metrics.percentiles.intervals NodeManager [I@5d21202d
hadoop.user.group.metrics.percentiles.intervals NodeManager [I@5d5160e6
hadoop.user.group.metrics.percentiles.intervals NodeManager [Ljava.lang.String;@3b2da18f
hadoop.user.group.metrics.percentiles.intervals OtherComponent [I@5906ebcb
hadoop.user.group.metrics.percentiles.intervals OtherComponent [Ljava.lang.String;@3b2da18f
hadoop.user.group.metrics.percentiles.intervals ResourceManager [I@100c567f
hadoop.user.group.metrics.percentiles.intervals ResourceManager [Ljava.lang.String;@3b2da18f
hadoop.user.group.static.mapping.overrides OtherComponent dr.who=;
hadoop.workaround.non.threadsafe.getpwuid OtherComponent true
hdfs-default.xml DataNode jar:file:/root/.m2/repository/org/apache/hadoop/hadoop-hdfs/3.2.1/hadoop-hdfs-3.2.1.jar!/hdfs-default.xml
hdfs-default.xml NameNode jar:file:/root/.m2/repository/org/apache/hadoop/hadoop-hdfs/3.2.1/hadoop-hdfs-3.2.1.jar!/hdfs-default.xml
hdfs-default.xml OtherComponent jar:file:/root/.m2/repository/org/apache/hadoop/hadoop-hdfs/3.2.1/hadoop-hdfs-3.2.1.jar!/hdfs-default.xml
hdfs-default.xml ResourceManager jar:file:/root/.m2/repository/org/apache/hadoop/hadoop-hdfs/3.2.1/hadoop-hdfs-3.2.1.jar!/hdfs-default.xml
hdfs-site.xml DataNode file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-classes/hdfs-site.xml
hdfs-site.xml NameNode file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-classes/hdfs-site.xml
hdfs-site.xml OtherComponent file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-classes/hdfs-site.xml
hdfs-site.xml ResourceManager file:/root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-classes/hdfs-site.xml
hdfs.minidfs.basedir OtherComponent /root/hadoop-3.2.1-src/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/target/test-dir/dfs
ignore.secure.ports.for.testing DataNode false
io.file.buffer.size DataNode 4096
io.file.buffer.size NameNode 4096
io.file.buffer.size OtherComponent 4096
io.file.buffer.size ResourceManager 4096
io.serializations OtherComponent [Ljava.lang.String;@1d2fb82
ipc.0.backoff.enable DataNode false
ipc.0.backoff.enable NameNode false
ipc.0.backoff.enable NodeManager false
ipc.0.backoff.enable OtherComponent false
ipc.0.backoff.enable ResourceManager false
ipc.0.faircallqueue.priority-levels DataNode 0
ipc.0.faircallqueue.priority-levels NameNode 0
ipc.0.faircallqueue.priority-levels NodeManager 0
ipc.0.faircallqueue.priority-levels OtherComponent 0
ipc.0.faircallqueue.priority-levels ResourceManager 0
ipc.0.scheduler.priority.levels DataNode 4
ipc.0.scheduler.priority.levels NameNode 4
ipc.0.scheduler.priority.levels NodeManager 4
ipc.0.scheduler.priority.levels OtherComponent 4
ipc.0.scheduler.priority.levels ResourceManager 4
ipc.client.async.calls.max DataNode 100
ipc.client.bind.wildcard.addr DataNode false
ipc.client.connect.max.retries DataNode 10
ipc.client.connect.max.retries OtherComponent 0
ipc.client.connect.max.retries OtherComponent 10
ipc.client.connect.max.retries OtherComponent 3
ipc.client.connect.max.retries.on.sasl DataNode 5
ipc.client.connect.max.retries.on.sasl NameNode 5
ipc.client.connect.max.retries.on.sasl OtherComponent 5
ipc.client.connect.max.retries.on.sasl ResourceManager 5
ipc.client.connect.max.retries.on.timeouts DataNode 45
ipc.client.connect.max.retries.on.timeouts NameNode 45
ipc.client.connect.max.retries.on.timeouts OtherComponent 0
ipc.client.connect.max.retries.on.timeouts OtherComponent 3
